name,title,url,description,author,type,status,updated_at
ckanext-MYEXTENSION,ckanext-MYEXTENSION,https://github.com/LeeDongHoon/ckanext-MYEXTENSION,,LeeDongHoon,Extension,,2013-10-19T18:46:34Z
ckanext-admin,,https://github.com/pkoskinen/ckanext-admin,,Pinja Koskinen,Extension,,2014-04-15T10:12:00Z
ckanext-aerc,AERC demo plugin,https://github.com/okfn/ckanext-aerc,,Open Knowledge,Extension,,2013-10-09T23:14:11Z
ckanext-agesic,Mirror of http://git.agesic.gub.uy/agesic-arquitectura/ckanext-agesic.git,https://github.com/anibalpacheco/ckanext-agesic,,anibalpacheco,Extension,,2014-05-02T22:35:12Z
ckanext-agls,AGLS metadata extension for CKAN,https://github.com/datagovau/ckanext-agls,,data.gov.au,Extension,,2014-04-07T03:00:30Z
ckanext-alexandra,,https://github.com/csk157/ckanext-alexandra,,csk157,Extension,,2013-09-27T08:40:30Z
ckanext-api-ng,New-generation API for Ckan (proposals for /api/4),https://github.com/rshk/ckanext-api-ng,,rshk,Extension,,2014-01-21T10:21:49Z
ckanext-apihelper,API Helper extension.,https://github.com/ckan/ckanext-apihelper,,CKAN,Extension,,2014-04-25T13:06:39Z
ckanext-archiver,Archive CKAN resources,https://github.com/ckan/ckanext-archiver,,CKAN,Extension,,2014-01-29T08:57:36Z
ckanext-arrayexpress,An ArrayExpress importer for CKAN.,https://github.com/jimmccusker/ckanext-arrayexpress,,Jim McCusker,Extension,,2013-10-05T13:48:47Z
ckanext-astro,A ckan extension that automatically parses FITS files and adds it's headers to the resource metadata and generates a jpg preview,https://github.com/joetsoi/ckanext-astro,,joetsoi,Extension,,2014-02-08T02:33:42Z
ckanext-authz,ckan-plugin for providing ckan-1.x authorization functions in ckan-2.x ,https://github.com/enal/ckanext-authz,,enal,Extension,,2013-11-28T05:35:39Z
ckanext-b2find,,https://github.com/B2FIND/ckanext-b2find,,B2FIND,Extension,,2014-04-19T23:22:29Z
ckanext-barnet,,https://github.com/okfn/ckanext-barnet,,Open Knowledge,Extension,,2014-04-27T01:34:17Z
ckanext-basemaps,ckanext basemaps plugin,https://github.com/gsi-cyberjapan/ckanext-basemaps,,,Extension,,2014-03-14T05:36:59Z
ckanext-basiccharts,"Line, bar and pie charts for CKAN",https://github.com/ckan/ckanext-basiccharts,,CKAN,Extension,,2014-05-02T12:23:32Z
ckanext-berlin,,https://github.com/fraunhoferfokus/ckanext-berlin,,Fraunhofer FOKUS,Extension,,2013-10-07T22:10:03Z
ckanext-berlin,CKAN extension for the datenregister.berlin.de portal,https://github.com/berlinonline/ckanext-berlin,,berlinonline,Extension,,2013-12-03T15:22:43Z
ckanext-canada,Government of Canada CKAN Extension - Extension à CKAN du Gouvernement du Canada,https://github.com/open-data/ckanext-canada,,Open Data Initiative - Initiative sur les données ouvertes,Extension,,2014-04-17T17:09:32Z
ckanext-canada-ckan-1.8,Archived version of Government of Canada CKAN Extension for ckan-1.8 - Extension à CKAN du Gouvernement du Canada,https://github.com/open-data/ckanext-canada-ckan-1.8,,Open Data Initiative - Initiative sur les données ouvertes,Extension,,2013-10-28T23:41:29Z
ckanext-ceres,Ceres CKAN Extension,https://github.com/CSTARS/ckanext-ceres,,CSTARS,Extension,,2014-03-31T21:04:15Z
ckanext-certificates,Retrieval and helpers for ODI Open Data certificates,https://github.com/datagovuk/ckanext-certificates,,Data.Gov.UK - Cabinet Office,Extension,,2014-03-04T12:37:32Z
ckanext-clone,,https://github.com/XVTSolutions/ckanext-clone,,XVTSolutions,Extension,,2014-04-30T01:10:05Z
ckanext-cmap,,https://github.com/nuams/ckanext-cmap,,,Extension,,2014-02-11T09:09:39Z
ckanext-cmre,Custom Template for CMRE,https://github.com/geosolutions-it/ckanext-cmre,,geosolutions-it,Extension,,2014-03-24T17:08:23Z
ckanext-colombia,,https://github.com/okfn/ckanext-colombia,,Open Knowledge,Extension,,2013-10-09T23:11:47Z
ckanext-comments,,https://github.com/pkoskinen/ckanext-comments,,Pinja Koskinen,Extension,,2013-10-17T04:59:13Z
ckanext-comments,"Comments for CKAN urls (datasets, resources, organizations etc).",https://github.com/rossjones/ckanext-comments,,Ross Jones,Extension,,2014-02-11T15:20:47Z
ckanext-contact_us,CKAN Extension for a contact us form,https://github.com/Quatral/ckanext-contact_us,,Quatral Solutions,Extension,,2014-04-30T18:00:19Z
ckanext-countapicalls,Simple API dataset hits counter,https://github.com/abulte/ckanext-countapicalls,,Alexandre Bulté,Extension,,2013-10-15T17:18:15Z
ckanext-countrycodes,,https://github.com/nigelbabu/ckanext-countrycodes,,Nigel Babu,Extension,,2013-12-18T22:31:45Z
ckanext-csw,,https://github.com/okfn/ckanext-csw,,Open Knowledge,Extension,,2013-10-09T23:11:41Z
ckanext-custom_fields,,https://github.com/ag242/ckanext-custom_fields,,ag242,Extension,,2013-12-19T15:01:38Z
ckanext-customdataset,This CKAN extension allows creation of specific dataset types for the CIWATER system,https://github.com/CI-Water-DASYCIM/ckanext-customdataset,,CI-Water-DASYCIM,Extension,,2014-03-21T18:44:41Z
ckanext-customization,This CKAN extension is for customizing the UI layer of CIWATER Portal.,https://github.com/CI-Water-DASYCIM/ckanext-customization,,CI-Water-DASYCIM,Extension,,2014-02-11T17:32:41Z
ckanext-dadosgovbr,CKAN theme for the brazilian open data portal,https://github.com/dadosgovbr/ckanext-dadosgovbr,,dadosgovbr,Extension,,2014-04-30T15:14:29Z
ckanext-dashboard,Organize views in a single dashboard,https://github.com/ckan/ckanext-dashboard,,CKAN,Extension,,2014-04-09T20:55:39Z
ckanext-datacatalogs,CKAN datacatalogs.org theme,https://github.com/okfn/ckanext-datacatalogs,,Open Knowledge,Extension,,2014-02-04T09:25:03Z
ckanext-datadaemon,Ckan based datadaemon that loads an RDF and store it as a resource,https://github.com/lightbase/ckanext-datadaemon,,Lightbase Consultoria,Extension,,2013-01-11T13:55:00Z
ckanext-dataforjapan,CKAN extension for Data for Japan,https://github.com/codeforjapan/ckanext-dataforjapan,,codeforjapan,Extension,,2014-04-07T12:04:26Z
ckanext-datagm,Code and theme for the Data GM Open Data Portal at http://datagm.org.uk/,https://github.com/okfn/ckanext-datagm,,Open Knowledge,Extension,,2013-10-09T23:10:24Z
ckanext-datagovau,Site specific customisations for the hosting of data.gov.au.,https://github.com/datagovau/ckanext-datagovau,,data.gov.au,Extension,,2014-04-07T03:01:06Z
ckanext-datagr,CKAN extension for data.grcity.us customizations,https://github.com/friendlycode/ckanext-datagr,,friendlycode,Extension,,2014-02-12T03:39:16Z
ckanext-datahub,Plugin for datahub,https://github.com/okfn/ckanext-datahub,,Open Knowledge,Extension,,2014-01-18T16:17:44Z
ckanext-datahubsuomi,Customizations for the finnish CKAN http://fi.thedatahub.org,https://github.com/jlouhio/ckanext-datahubsuomi,,jlouhio,Extension,,2013-01-13T18:10:37Z
ckanext-datajson,for POD /data,https://github.com/HHS/ckanext-datajson,,U.S. Department of Health & Human Services,Extension,,2014-04-18T17:37:03Z
ckanext-datalocale,extension CKAN développée pour le projet http://catalogue.datalocale.fr,https://github.com/datalocale/ckanext-datalocale,,portail de données ouvertes datalocale.fr,Extension,,2014-03-01T12:25:40Z
ckanext-datamx_theme,Codeando Mexico's Custom Theme CKAN Extension.,https://github.com/CodeandoMexico/ckanext-datamx_theme,,CodeandoMexico,Extension,,2014-05-01T19:28:00Z
ckanext-datanl,,https://github.com/okfn/ckanext-datanl,,Open Knowledge,Extension,,2014-03-19T13:53:38Z
ckanext-datano,,https://github.com/okfn/ckanext-datano,,Open Knowledge,Extension,,2013-09-30T06:37:35Z
ckanext-datapackager,CKAN extension for the Open Knowledge Data Packager,https://github.com/ckan/ckanext-datapackager,,CKAN,Extension,,2014-05-04T17:05:40Z
